Temp;25;Fri Jan 20 2017 19:59:16 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:16 GMT+0100 (CET);
Light;198;Fri Jan 20 2017 19:59:17 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:17 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:17 GMT+0100 (CET);
Light;202;Fri Jan 20 2017 19:59:18 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:18 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:18 GMT+0100 (CET);
Light;99;Fri Jan 20 2017 19:59:19 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:19 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:19 GMT+0100 (CET);
Light;190;Fri Jan 20 2017 19:59:20 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:20 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:20 GMT+0100 (CET);
Light;202;Fri Jan 20 2017 19:59:21 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:21 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:21 GMT+0100 (CET);
Light;99;Fri Jan 20 2017 19:59:22 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:22 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:22 GMT+0100 (CET);
Light;194;Fri Jan 20 2017 19:59:23 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:23 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:23 GMT+0100 (CET);
Light;202;Fri Jan 20 2017 19:59:23 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:24 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:24 GMT+0100 (CET);
Light;99;Fri Jan 20 2017 19:59:24 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:25 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:25 GMT+0100 (CET);
Light;209;Fri Jan 20 2017 19:59:25 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:26 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:26 GMT+0100 (CET);
Light;194;Fri Jan 20 2017 19:59:26 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:27 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:27 GMT+0100 (CET);
Light;91;Fri Jan 20 2017 19:59:27 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:28 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:28 GMT+0100 (CET);
Light;202;Fri Jan 20 2017 19:59:28 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:29 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:29 GMT+0100 (CET);
Light;171;Fri Jan 20 2017 19:59:29 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:30 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:30 GMT+0100 (CET);
Light;110;Fri Jan 20 2017 19:59:30 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:31 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:31 GMT+0100 (CET);
Light;232;Fri Jan 20 2017 19:59:31 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:32 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:32 GMT+0100 (CET);
Light;137;Fri Jan 20 2017 19:59:32 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:33 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:33 GMT+0100 (CET);
Light;167;Fri Jan 20 2017 19:59:33 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:33 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:34 GMT+0100 (CET);
Light;202;Fri Jan 20 2017 19:59:34 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:34 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:35 GMT+0100 (CET);
Light;99;Fri Jan 20 2017 19:59:35 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:35 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:36 GMT+0100 (CET);
Light;205;Fri Jan 20 2017 19:59:36 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:36 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:36 GMT+0100 (CET);
Light;167;Fri Jan 20 2017 19:59:37 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:37 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:37 GMT+0100 (CET);
Light;148;Fri Jan 20 2017 19:59:38 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:38 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:38 GMT+0100 (CET);
Light;213;Fri Jan 20 2017 19:59:39 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:39 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:39 GMT+0100 (CET);
Light;106;Fri Jan 20 2017 19:59:40 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:40 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:40 GMT+0100 (CET);
Light;209;Fri Jan 20 2017 19:59:41 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:41 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:41 GMT+0100 (CET);
Light;160;Fri Jan 20 2017 19:59:42 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:42 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:42 GMT+0100 (CET);
Light;160;Fri Jan 20 2017 19:59:43 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:43 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:43 GMT+0100 (CET);
Light;205;Fri Jan 20 2017 19:59:44 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:44 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:44 GMT+0100 (CET);
Light;91;Fri Jan 20 2017 19:59:45 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:45 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:45 GMT+0100 (CET);
Light;217;Fri Jan 20 2017 19:59:46 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:46 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:46 GMT+0100 (CET);
Light;114;Fri Jan 20 2017 19:59:47 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:47 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:47 GMT+0100 (CET);
Light;217;Fri Jan 20 2017 19:59:48 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:48 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:48 GMT+0100 (CET);
Light;156;Fri Jan 20 2017 19:59:49 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:49 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:49 GMT+0100 (CET);
Light;171;Fri Jan 20 2017 19:59:50 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:50 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:50 GMT+0100 (CET);
Light;183;Fri Jan 20 2017 19:59:51 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:51 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:51 GMT+0100 (CET);
Light;125;Fri Jan 20 2017 19:59:52 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:52 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:52 GMT+0100 (CET);
Light;205;Fri Jan 20 2017 19:59:53 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:53 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:53 GMT+0100 (CET);
Light;91;Fri Jan 20 2017 19:59:54 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:54 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:54 GMT+0100 (CET);
Light;221;Fri Jan 20 2017 19:59:55 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:55 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:55 GMT+0100 (CET);
Light;122;Fri Jan 20 2017 19:59:56 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:56 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:56 GMT+0100 (CET);
Light;217;Fri Jan 20 2017 19:59:57 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:57 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 19:59:57 GMT+0100 (CET);
Light;148;Fri Jan 20 2017 19:59:58 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:58 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 19:59:58 GMT+0100 (CET);
Light;194;Fri Jan 20 2017 19:59:59 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 19:59:59 GMT+0100 (CET);
Hum;25;Fri Jan 20 2017 19:59:59 GMT+0100 (CET);
Light;167;Fri Jan 20 2017 20:00:00 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:00 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:00 GMT+0100 (CET);
Light;160;Fri Jan 20 2017 20:00:01 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:01 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:01 GMT+0100 (CET);
Light;194;Fri Jan 20 2017 20:00:02 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:02 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:02 GMT+0100 (CET);
Light;122;Fri Jan 20 2017 20:00:03 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:03 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:03 GMT+0100 (CET);
Light;213;Fri Jan 20 2017 20:00:04 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:04 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:04 GMT+0100 (CET);
Light;95;Fri Jan 20 2017 20:00:05 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:05 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:05 GMT+0100 (CET);
Light;217;Fri Jan 20 2017 20:00:06 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:06 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:06 GMT+0100 (CET);
Light;102;Fri Jan 20 2017 20:00:06 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:07 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:07 GMT+0100 (CET);
Light;205;Fri Jan 20 2017 20:00:07 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:08 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:08 GMT+0100 (CET);
Light;114;Fri Jan 20 2017 20:00:08 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:09 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:09 GMT+0100 (CET);
Light;205;Fri Jan 20 2017 20:00:09 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:10 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:10 GMT+0100 (CET);
Light;137;Fri Jan 20 2017 20:00:10 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:11 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:11 GMT+0100 (CET);
Light;202;Fri Jan 20 2017 20:00:11 GMT+0100 (CET);
Temp;25;Fri Jan 20 2017 20:00:12 GMT+0100 (CET);
Hum;24;Fri Jan 20 2017 20:00:12 GMT+0100 (CET);
